NEPW100140,273.3775,66.78298,0.02,-1,0
NEPW100142,273.37766,66.6012,0,-1,-2
NEPW100144,273.3783,66.43269,1.6605,15,16
NEPW100146,273.37875,66.56221,0.2221,1,2
NEPW10015,267.78046,66.81693,0.9632,9,8
NEPW100151,273.37909,66.60435,0.1399,1,0
NEPW100152,273.37912,66.66225,0.3297,3,2
NEPW100154,273.37936,66.78091,0,-1,-2
NEPW100156,273.37946,66.67024,0.1484,1,0
NEPW100157,273.37958,66.60906,0.3484,3,2
NEPW100160,273.3815,66.69435,0.0456,-1,0
NEPW100161,273.38272,66.4454,0.2771,1,2
NEPW100162,273.38275,66.55119,0,-1,-2
NEPW100164,273.38333,66.64032,0.7785,7,6
NEPW100165,273.3837,66.69666,0.0848,-1,0
NEPW100166,273.38412,66.75632,0.7484,7,6
NEPW100167,273.38419,66.62218,0.4279,3,4
NEPW100168,273.38431,66.56285,0.3208,3,2
NEPW10017,267.78061,66.27268,0.2668,1,2
NEPW100171,273.38574,66.72058,0,-1,-2
NEPW100173,273.38654,66.61362,0.9609,9,8
NEPW100175,273.38715,66.75294,0.02,-1,0
NEPW100176,273.38721,66.68776,0.8387,7,8
NEPW100177,273.38721,66.5069,1.7788,17,16
NEPW100178,273.38733,66.59317,0.5442,5,4
NEPW100179,273.38739,66.41618,0,-1,-2
NEPW10018,267.78064,66.30647,0.4363,3,4
NEPW100180,273.38742,66.7803,0.9186,9,8
NEPW100183,273.38818,66.42849,0.6999,5,6
NEPW100184,273.38864,66.70839,0.1147,1,0
NEPW100185,273.38898,66.58462,0.5573,5,4
NEPW100188,273.39117,66.44067,1.9321,19,18
NEPW100189,273.39151,66.55981,0.4504,3,4
NEPW100192,273.39243,66.67964,1.6235,15,16
NEPW100193,273.39246,66.63351,0,-1,-2
NEPW100194,273.39273,66.38007,0,-1,-2
NEPW100195,273.3931,66.36913,1.4041,13,14
NEPW100196,273.3934,66.76665,0.6228,5,6
NEPW100197,273.39352,66.7009,0.7508,7,6
NEPW100198,273.39362,66.58242,0,-1,-2
NEPW100199,273.39377,66.70588,0.4999,3,4
NEPW10020,267.78098,66.63908,0.8337,7,8
NEPW100201,273.39389,66.53596,0.02,-1,0
NEPW100202,273.39481,66.37585,0.02,-1,0
NEPW100203,273.39511,66.74715,1.0785,9,10
NEPW100204,273.39536,66.68824,0.0228,-1,0
NEPW100205,273.39563,66.6283,0.6755,5,6
NEPW100207,273.39584,66.66205,1.0078,9,10
NEPW100208,273.39603,66.59258,1.5839,15,14
NEPW100209,273.39658,66.3955,2.2375,21,22
NEPW10021,267.78101,67.28783,0.1793,1,0
NEPW100210,273.39664,66.66785,0.02,-1,0
NEPW100212,273.39682,66.57205,0,-1,-2
NEPW100213,273.39731,66.63692,0.4,3,2
NEPW100214,273.39761,66.59146,0.02,-1,0
NEPW100215,273.39767,66.45003,0.5272,5,4
NEPW100216,273.39859,66.78394,0,-1,-2
NEPW100219,273.39914,66.56639,0.5751,5,4
NEPW10022,267.78107,66.48977,1.1062,11,10
NEPW100220,273.3992,66.56422,0.02,-1,0
NEPW100221,273.39972,66.44221,0.4576,3,4
NEPW100222,273.39996,66.39762,0.7899,7,6
NEPW100224,273.401,66.65361,0.02,-1,0
NEPW100225,273.401,66.43858,0.2842,1,2
NEPW100226,273.40125,66.60253,0.4643,3,4
NEPW100228,273.40176,66.58555,0.6243,5,6
NEPW100229,273.40192,66.42113,0.4788,3,4
NEPW10023,267.7811,65.66177,0.3915,3,2
NEPW100230,273.40192,66.74566,0.5789,5,4
NEPW100232,273.40204,66.66753,0.02,-1,0
NEPW100233,273.40222,66.77473,0.0878,-1,0
NEPW100234,273.40225,66.40259,0.3661,3,2
NEPW100235,273.40228,66.64047,0.02,-1,0
NEPW100237,273.40335,66.67378,0.1859,1,0
NEPW100238,273.40405,66.76289,0.6048,5,6
NEPW10024,267.78113,66.27835,0,-1,-2
NEPW100240,273.40448,66.71818,0,-1,-2
NEPW100242,273.40573,66.5907,0,-1,-2
NEPW100244,273.40637,66.56059,0.5351,5,4
NEPW100246,273.40677,66.73808,0.154,1,0
NEPW100248,273.40756,66.36782,0.5658,5,4
NEPW100249,273.40775,66.38484,0.0921,-1,0
NEPW10025,267.78113,66.9026,0.02,-1,0
NEPW100250,273.40796,66.57465,0,-1,-2
NEPW100251,273.40833,66.76145,0.279,1,2
NEPW100253,273.40848,66.37449,0.7023,7,6
NEPW100255,273.41064,66.5923,1.0252,9,10
NEPW100256,273.41174,66.65865,0.02,-1,0
NEPW100257,273.41223,66.75442,0.02,-1,0
NEPW100259,273.41266,66.68064,0,-1,-2
NEPW10026,267.78116,65.82658,0.02,-1,0
NEPW100261,273.41364,66.65492,0.4217,3,4
NEPW100262,273.41528,66.62126,0.02,-1,0
NEPW100264,273.41602,66.72002,0.0765,-1,0
